source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
property_prices_in_tunisia,453,house,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,98.0,3.0,1.0,130000.0
property_prices_in_tunisia,454,apartment,Ariana,Ariana,Ariana,Ariana,98.0,3.0,1.0,130000.0
property_prices_in_tunisia,459,house,Ariana,Raoued,Raoued,Raoued,200.0,3.0,1.0,170000.0
property_prices_in_tunisia,466,house,Ariana,Raoued,Raoued,Raoued,90.0,2.0,1.0,76000.0
property_prices_in_tunisia,469,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,75.0,3.0,1.0,130000.0
property_prices_in_tunisia,473,apartment,Ariana,La Soukra,La Soukra,La Soukra,95.0,2.0,1.0,220000.0
property_prices_in_tunisia,474,house,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,100.0,3.0,1.0,170000.0
property_prices_in_tunisia,475,house,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,90.0,3.0,1.0,100000.0
property_prices_in_tunisia,481,house,Ariana,Ariana,Ariana,Ariana,200.0,4.0,1.0,170000.0
property_prices_in_tunisia,484,apartment,Ariana,La Soukra,La Soukra,La Soukra,100.0,2.0,1.0,223000.0
property_prices_in_tunisia,494,apartment,Ariana,La Soukra,La Soukra,La Soukra,60.0,2.0,1.0,170000.0
property_prices_in_tunisia,499,house,Ariana,Raoued,Raoued,Raoued,425.0,6.0,2.0,230000.0
property_prices_in_tunisia,501,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,108.0,2.0,1.0,210000.0
property_prices_in_tunisia,504,house,Ariana,Chotrana,Chotrana,Chotrana,225.0,3.0,1.0,135000.0
property_prices_in_tunisia,508,house,Ariana,Raoued,Raoued,Raoued,500.0,11.0,3.0,360000.0
property_prices_in_tunisia,509,apartment,Ariana,Ennasr,Ennasr,Ennasr,170.0,2.0,1.0,330000.0
property_prices_in_tunisia,511,apartment,Ariana,Ennasr,Ennasr,Ennasr,45.0,1.0,1.0,120000.0
property_prices_in_tunisia,516,apartment,Ariana,Ennasr,Ennasr,Ennasr,60.0,1.0,1.0,155000.0
property_prices_in_tunisia,517,apartment,Ariana,La Soukra,La Soukra,La Soukra,117.0,3.0,1.0,270000.0
property_prices_in_tunisia,522,house,Ariana,Ariana,Ariana,Ariana,200.0,3.0,1.0,180000.0
property_prices_in_tunisia,523,apartment,Ariana,Mnihla,Mnihla,Mnihla,80.0,2.0,1.0,195000.0
property_prices_in_tunisia,524,apartment,Ariana,La Soukra,La Soukra,La Soukra,128.0,2.0,1.0,365000.0
property_prices_in_tunisia,526,house,Ariana,Raoued,Raoued,Raoued,200.0,1.0,1.0,60000.0
property_prices_in_tunisia,527,house,Ariana,La Soukra,La Soukra,La Soukra,311.0,6.0,3.0,900000.0
property_prices_in_tunisia,528,house,Ariana,Raoued,Raoued,Raoued,110.0,2.0,1.0,120000.0
property_prices_in_tunisia,529,house,Ariana,Chotrana,Chotrana,Chotrana,195.0,1.0,1.0,65000.0
property_prices_in_tunisia,533,house,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,115.0,3.0,1.0,130000.0
property_prices_in_tunisia,537,apartment,Ariana,Chotrana,Chotrana,Chotrana,60.0,1.0,1.0,170000.0
property_prices_in_tunisia,542,house,Ariana,Raoued,Raoued,Raoued,330.0,3.0,1.0,180000.0
property_prices_in_tunisia,555,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,140.0,3.0,1.0,230000.0
property_prices_in_tunisia,556,house,Ariana,La Soukra,La Soukra,La Soukra,370.0,3.0,3.0,760000.0
property_prices_in_tunisia,557,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,80.0,2.0,1.0,119000.0
property_prices_in_tunisia,575,apartment,Ariana,La Soukra,La Soukra,La Soukra,60.0,1.0,1.0,100000.0
property_prices_in_tunisia,591,house,Ariana,La Soukra,La Soukra,La Soukra,80.0,2.0,1.0,90000.0
property_prices_in_tunisia,600,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,200.0,4.0,2.0,420000.0
property_prices_in_tunisia,601,house,Ariana,Mnihla,Mnihla,Mnihla,100.0,3.0,1.0,85000.0
property_prices_in_tunisia,616,apartment,Ariana,Ettadhamen,Ettadhamen,Ettadhamen,121.0,4.0,1.0,140000.0
property_prices_in_tunisia,618,apartment,Ariana,La Soukra,La Soukra,La Soukra,260.0,4.0,3.0,840000.0
property_prices_in_tunisia,621,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,100.0,3.0,1.0,300000.0
property_prices_in_tunisia,623,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,74.0,2.0,1.0,180000.0
property_prices_in_tunisia,624,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,75.0,3.0,1.0,110000.0
property_prices_in_tunisia,625,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,165.0,4.0,1.0,310000.0
property_prices_in_tunisia,632,apartment,Ariana,Ennasr,Ennasr,Ennasr,140.0,3.0,2.0,275000.0
property_prices_in_tunisia,633,house,Ariana,Ariana,Ariana,Ariana,1200.0,4.0,2.0,750000.0
property_prices_in_tunisia,635,apartment,Ariana,Ennasr,Ennasr,Ennasr,80.0,2.0,1.0,173000.0
property_prices_in_tunisia,643,house,Ariana,Raoued,Raoued,Raoued,500.0,7.0,2.0,375000.0
property_prices_in_tunisia,644,house,Ariana,La Soukra,La Soukra,La Soukra,400.0,3.0,4.0,800000.0
property_prices_in_tunisia,649,house,Ariana,La Soukra,La Soukra,La Soukra,407.0,5.0,4.0,1000000.0
property_prices_in_tunisia,654,house,Ariana,La Soukra,La Soukra,La Soukra,260.0,4.0,3.0,840000.0
property_prices_in_tunisia,655,house,Ariana,Ghazela,Ghazela,Ghazela,500.0,8.0,2.0,400000.0
property_prices_in_tunisia,656,house,Ariana,Ghazela,Ghazela,Ghazela,200.0,4.0,1.0,185000.0
property_prices_in_tunisia,663,house,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,450.0,4.0,1.0,240000.0
property_prices_in_tunisia,664,house,Ariana,Ariana,Ariana,Ariana,468.0,4.0,2.0,750000.0
property_prices_in_tunisia,667,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,100.0,3.0,1.0,265000.0
property_prices_in_tunisia,668,house,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,270.0,6.0,2.0,630000.0
property_prices_in_tunisia,675,house,Ariana,La Soukra,La Soukra,La Soukra,350.0,4.0,2.0,335000.0
