property_type,bedrooms,bathrooms,surface_m2,price,city,neighborhood,log_price
Villa,3.0,1.0,100.0,42000.0,Ariana,Raoued,4.623249290397901
Apartment,4.0,1.0,121.0,140000.0,Ariana,Ettadhamen,5.146128035678238
Apartment,4.0,3.0,260.0,840000.0,Ariana,La Soukra,5.924279286061882
Apartment,3.0,1.0,100.0,300000.0,Ariana,Ariana Ville,5.477121254719663
Apartment,2.0,1.0,74.0,180000.0,Ariana,Jardins D'el Menzah,5.2552725051033065
Apartment,3.0,1.0,75.0,110000.0,Ariana,Borj Louzir,5.041392685158225
Apartment,4.0,1.0,165.0,310000.0,Ariana,Ariana Ville,5.491361693834273
Apartment,1.0,1.0,68.0,195000.0,Ariana,Autres villes,5.290034611362518
Apartment,3.0,2.0,140.0,275000.0,Ariana,Ennasr,5.439332693830263
Villa,4.0,2.0,1200.0,750000.0,Ariana,Ariana,5.8750612633917
Apartment,2.0,1.0,80.0,173000.0,Ariana,Ennasr,5.238046103128795
Apartment,3.0,2.0,149.0,275000.0,Ariana,Autres villes,5.439332693830263
Villa,7.0,2.0,500.0,375000.0,Ariana,Raoued,5.574031267727719
Villa,3.0,4.0,400.0,800000.0,Ariana,La Soukra,5.903089986991944
Villa,5.0,4.0,407.0,1000000.0,Ariana,La Soukra,6.0
Villa,8.0,3.0,280.0,145000.0,Ariana,Ghazela,5.161368002234975
Villa,4.0,3.0,260.0,840000.0,Ariana,La Soukra,5.924279286061882
Villa,8.0,2.0,500.0,400000.0,Ariana,Ghazela,5.6020599913279625
Villa,4.0,1.0,200.0,185000.0,Ariana,Ghazela,5.267171728403014
Villa,1.0,1.0,244.0,88000.0,Ariana,Raoued,4.944482672150168
Villa,5.0,2.0,183.0,368000.0,Ariana,Autres villes,5.565847818673518
Villa,4.0,1.0,450.0,240000.0,Ariana,Borj Louzir,5.380211241711606
Villa,4.0,2.0,468.0,750000.0,Ariana,Ariana,5.8750612633917
Apartment,3.0,1.0,100.0,265000.0,Ariana,Ariana Ville,5.423245873936808
Villa,6.0,2.0,270.0,630000.0,Ariana,Jardins D'el Menzah,5.799340549453582
Villa,4.0,2.0,350.0,335000.0,Ariana,La Soukra,5.525044807036846
Apartment,2.0,1.0,120.0,270000.0,Ariana,Ennasr,5.431363764158987
Villa,3.0,2.0,226.0,550000.0,Ariana,Ennasr,5.740362689494244
Villa,2.0,1.0,150.0,120000.0,Ariana,Mnihla,5.079181246047625
Villa,3.0,3.0,1000.0,1700000.0,Ariana,La Soukra,6.230448921378274
Villa,4.0,2.0,450.0,1200000.0,Ariana,La Soukra,6.079181246047625
Apartment,3.0,1.0,152.0,260000.0,Ariana,Ariana,5.414973347970818
Apartment,1.0,1.0,67.0,160000.0,Ariana,Ghazela,5.204119982655925
Apartment,3.0,1.0,74.0,180000.0,Ariana,Jardins D'el Menzah,5.2552725051033065
Villa,3.0,2.0,207.0,600000.0,Ariana,Ennasr,5.778151250383644
Villa,4.0,1.0,516.0,850000.0,Ariana,Ariana,5.929418925714293
Villa,5.0,3.0,280.0,460000.0,Ariana,Borj Louzir,5.662757831681574
Villa,7.0,2.0,400.0,550000.0,Ariana,Ariana,5.740362689494244
Villa,6.0,2.0,267.0,220000.0,Ariana,Ettadhamen,5.342422680822207
Villa,2.0,1.0,150.0,170000.0,Ariana,Ghazela,5.230448921378274
Apartment,3.0,1.0,135.0,345000.0,Ariana,Ennasr,5.537819095073274
Apartment,2.0,2.0,125.0,312000.0,Ariana,La Soukra,5.494154594018442
Apartment,3.0,1.0,96.0,165000.0,Ariana,La Soukra,5.217483944213907
Apartment,2.0,1.0,91.0,185000.0,Ariana,Ariana,5.267171728403014
Apartment,1.0,1.0,63.0,175000.0,Ariana,La Soukra,5.243038048686294
Apartment,2.0,1.0,100.0,250000.0,Ariana,Ennasr,5.3979400086720375
Villa,5.0,1.0,350.0,310000.0,Ariana,Jardins D'el Menzah,5.491361693834273
Villa,4.0,1.0,202.0,260000.0,Ariana,Mnihla,5.414973347970818
Villa,4.0,1.0,100.0,95000.0,Ariana,Mnihla,4.977723605288848
Apartment,2.0,1.0,133.0,356000.0,Ariana,Ennasr,5.551449997972875
Apartment,2.0,1.0,81.0,260000.0,Ariana,Ennasr,5.414973347970818
Apartment,2.0,1.0,85.0,150000.0,Ariana,Ariana Ville,5.176091259055681
Apartment,3.0,1.0,112.0,185000.0,Ariana,Borj Louzir,5.267171728403014
Apartment,2.0,1.0,50.0,68000.0,Ariana,Borj Louzir,4.832508912706237
Apartment,3.0,1.0,100.0,270000.0,Ariana,La Soukra,5.431363764158987
Apartment,3.0,1.0,80.0,95000.0,Ariana,Autres villes,4.977723605288848
Apartment,3.0,1.0,250.0,950000.0,Ariana,La Soukra,5.977723605288848
Apartment,4.0,2.0,186.0,380000.0,Ariana,Ennasr,5.57978359661681
Villa,4.0,1.0,400.0,230000.0,Ariana,Borj Louzir,5.361727836017593
Villa,4.0,1.0,530.0,900000.0,Ariana,Ariana Ville,5.954242509439325
Villa,4.0,2.0,900.0,700000.0,Ariana,Autres villes,5.845098040014257
Apartment,2.0,1.0,70.0,170000.0,Ariana,La Soukra,5.230448921378274
Villa,3.0,1.0,157.0,95000.0,Ariana,Mnihla,4.977723605288848
Villa,4.0,1.0,190.0,135000.0,Ariana,Mnihla,5.130333768495007
Villa,6.0,2.0,360.0,400000.0,Ariana,Ariana Ville,5.6020599913279625
Villa,4.0,1.0,320.0,600000.0,Ariana,La Soukra,5.778151250383644
Villa,4.0,2.0,320.0,265000.0,Ariana,Ghazela,5.423245873936808
Apartment,2.0,2.0,124.0,229400.0,Ariana,Ghazela,5.360593413565248
Apartment,2.0,1.0,100.0,230000.0,Ariana,Jardins D'el Menzah,5.361727836017593
Apartment,3.0,2.0,160.0,270000.0,Ariana,La Soukra,5.431363764158987
Villa,3.0,1.0,150.0,120000.0,Ariana,Autres villes,5.079181246047625
Villa,4.0,1.0,200.0,140000.0,Ariana,Mnihla,5.146128035678238
Apartment,2.0,1.0,128.0,360000.0,Ariana,La Soukra,5.556302500767287
Apartment,2.0,1.0,131.0,181000.0,Ariana,La Soukra,5.2576785748691846
Apartment,2.0,1.0,144.0,430000.0,Ariana,La Soukra,5.633468455579586
Villa,5.0,1.0,250.0,520000.0,Ariana,La Soukra,5.7160033436348
Apartment,3.0,1.0,110.0,120000.0,Ariana,Ariana,5.079181246047625
Apartment,3.0,1.0,150.0,320000.0,Ariana,Ennasr,5.505149978319906
Villa,3.0,1.0,98.0,75000.0,Ariana,Raoued,4.8750612633917
Apartment,3.0,1.0,140.0,290000.0,Ariana,Ghazela,5.4623979978989565
Apartment,3.0,2.0,96.0,220000.0,Ariana,Ariana Ville,5.342422680822207
Villa,2.0,1.0,90.0,1111000.0,Ariana,Autres villes,6.045714058940868
Villa,6.0,2.0,320.0,690000.0,Ariana,Autres villes,5.838849090737256
Apartment,2.0,1.0,100.0,220000.0,Ariana,Ariana,5.342422680822207
Villa,3.0,1.0,400.0,280000.0,Ariana,Autres villes,5.447158031342219
Villa,4.0,1.0,140.0,120000.0,Ariana,Sidi Thabet,5.079181246047625
Villa,3.0,1.0,140.0,120000.0,Ariana,Raoued,5.079181246047625
Villa,6.0,2.0,250.0,230000.0,Ariana,Borj Louzir,5.361727836017593
Villa,2.0,1.0,103.0,115000.0,Ariana,Ghazela,5.060697840353612
Villa,2.0,1.0,440.0,270000.0,Ariana,Raoued,5.431363764158987
Apartment,1.0,1.0,70.0,195000.0,Ariana,La Soukra,5.290034611362518
Villa,6.0,2.0,300.0,210000.0,Ariana,Raoued,5.32221929473392
Villa,5.0,2.0,436.0,900000.0,Ariana,Ariana,5.954242509439325
Villa,5.0,1.0,550.0,1300000.0,Ariana,La Soukra,6.113943352306837
Villa,3.0,3.0,300.0,980000.0,Ariana,La Soukra,5.991226075692495
Apartment,2.0,2.0,116.0,310000.0,Ariana,Chotrana,5.491361693834273
Villa,4.0,2.0,380.0,770000.0,Ariana,La Soukra,5.886490725172482
Villa,5.0,3.0,900.0,1300000.0,Ariana,La Soukra,6.113943352306837
Villa,5.0,1.0,1000.0,420000.0,Ariana,Sidi Thabet,5.623249290397901
Villa,4.0,1.0,165.0,290000.0,Ariana,Autres villes,5.4623979978989565
Apartment,4.0,2.0,222.0,530000.0,Ariana,Ennasr,5.724275869600789
Apartment,3.0,2.0,170.0,415000.0,Ariana,Ennasr,5.6180480967120925
Apartment,3.0,2.0,200.0,530000.0,Ariana,Ennasr,5.724275869600789
Apartment,2.0,1.0,105.0,205000.0,Ariana,Ghazela,5.311753861055754
Apartment,3.0,2.0,112.0,260000.0,Ariana,Autres villes,5.414973347970818
Apartment,3.0,1.0,138.0,280000.0,Ariana,Autres villes,5.447158031342219
Apartment,3.0,2.0,170.0,375000.0,Ariana,Autres villes,5.574031267727719
Apartment,2.0,1.0,80.0,120000.0,Ariana,Autres villes,5.079181246047625
Apartment,2.0,1.0,106.0,240000.0,Ariana,La Soukra,5.380211241711606
Villa,4.0,2.0,130.0,125000.0,Ariana,Autres villes,5.096910013008056
Villa,2.0,1.0,200.0,270000.0,Ariana,Borj Louzir,5.431363764158987
Apartment,3.0,1.0,113.0,220000.0,Ariana,La Soukra,5.342422680822207
Apartment,1.0,1.0,31.0,95000.0,Ariana,Raoued,4.977723605288848
Villa,8.0,2.0,718.0,600000.0,Ariana,Mnihla,5.778151250383644
Apartment,2.0,1.0,94.0,130000.0,Ariana,Ghazela,5.113943352306837
Apartment,2.0,1.0,105.0,215000.0,Ariana,Ghazela,5.332438459915605
Villa,1.0,1.0,195.0,65000.0,Ariana,Chotrana,4.812913356642856
Villa,1.0,1.0,150.0,68000.0,Ariana,Chotrana,4.832508912706237
Villa,2.0,1.0,110.0,120000.0,Ariana,Raoued,5.079181246047625
Villa,1.0,1.0,200.0,60000.0,Ariana,Raoued,4.778151250383644
Apartment,3.0,1.0,100.0,107000.0,Ariana,Borj Louzir,5.02938377768521
Villa,3.0,1.0,100.0,58000.0,Ariana,Raoued,4.763427993562937
Apartment,3.0,2.0,153.0,230000.0,Ariana,Autres villes,5.361727836017593
Apartment,4.0,3.0,157.0,360000.0,Ariana,Ennasr,5.556302500767287
Villa,7.0,4.0,600.0,1890000.0,Ariana,Ennasr,6.276461804173244
